location_name,location_url,search_rank,search_term,location_found
Neue Galerie,https://www.tripadvisor.com/Attraction_Review-g60763-d258699-Reviews-Neue_Galerie-New_York_City_New_York.html,61,New York,"New York City, New York"
Woolworth Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104368-Reviews-Woolworth_Building-New_York_City_New_York.html,62,New York,"New York City, New York"
Governors Island National Monument,https://www.tripadvisor.com/Attraction_Review-g60763-d136072-Reviews-Governors_Island_National_Monument-New_York_City_New_York.html,63,New York,"New York City, New York"
Room Escape Games (22),https://www.tripadvisor.com/Attractions-g60763-Activities-c56-t208-New_York_City_New_York.html,64,New York,"New York City, New York"
Broadway Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d2155542-Reviews-Broadway_Theatre-New_York_City_New_York.html,65,New York,"New York City, New York"
Grand Central Market,https://www.tripadvisor.com/Attraction_Review-g60763-d5124083-Reviews-Grand_Central_Market-New_York_City_New_York.html,66,New York,"New York City, New York"
Gershwin Theater,https://www.tripadvisor.com/Attraction_Review-g60763-d505289-Reviews-Gershwin_Theater-New_York_City_New_York.html,67,New York,"New York City, New York"
St. Thomas Church,https://www.tripadvisor.com/Attraction_Review-g60763-d146337-Reviews-St_Thomas_Church-New_York_City_New_York.html,68,New York,"New York City, New York"
Cultural Tours (50),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t225-New_York_City_New_York.html,69,New York,"New York City, New York"
Bethesda Fountain,https://www.tripadvisor.com/Attraction_Review-g60763-d532143-Reviews-Bethesda_Fountain-New_York_City_New_York.html,70,New York,"New York City, New York"
Museum at Eldridge Street,https://www.tripadvisor.com/Attraction_Review-g60763-d265495-Reviews-Museum_at_Eldridge_Street-New_York_City_New_York.html,71,New York,"New York City, New York"
Brookfield Place - World Financial Center,https://www.tripadvisor.com/Attraction_Review-g60763-d207715-Reviews-Brookfield_Place_World_Financial_Center-New_York_City_New_York.html,72,New York,"New York City, New York"
Hudson River Park,https://www.tripadvisor.com/Attraction_Review-g60763-d4545669-Reviews-Hudson_River_Park-New_York_City_New_York.html,73,New York,"New York City, New York"
Columbia University,https://www.tripadvisor.com/Attraction_Review-g60763-d143375-Reviews-Columbia_University-New_York_City_New_York.html,74,New York,"New York City, New York"
Meatpacking District,https://www.tripadvisor.com/Attraction_Review-g60763-d116394-Reviews-Meatpacking_District-New_York_City_New_York.html,75,New York,"New York City, New York"
