addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Facebook News Feed Filter,https://addons.mozilla.org/en-US/firefox/addon/facebook-news-feed-filter/?src=search,60,141,35.8 KiB,1.2,2017-01-29T02:03:29Z,3,3.6667,AndyBar,,False,Firefox,facebook
Facebook Application Bookmarks,https://addons.mozilla.org/en-US/firefox/addon/FacebookApplicationBookmark/?src=search,61,198,88.5 KiB,1.2.3.1-signed.1-signed,2012-01-28T05:13:14Z,12,3.8333,AddonWorks,http://apps.facebook.com/firechm,False,Firefox,facebook
Painel do Facebook Touch,https://addons.mozilla.org/en-US/firefox/addon/painel-do-facebook-touch/?src=search,62,42,460.8 KiB,0.1.2.1-signed,2017-03-29T16:38:17Z,0,0.0,Rafael Gomes,,False,Firefox,facebook
Facebook Photo Stalker,https://addons.mozilla.org/en-US/firefox/addon/facebook-photo-stalker/?src=search,63,1112,11.6 KiB,1.1.1-signed.1-signed,2011-01-20T05:09:06Z,16,2.1875,Photo Stalker,http://apps.facebook.com/josh_owns,False,Firefox,facebook
RTL Facebook,https://addons.mozilla.org/en-US/firefox/addon/rtl-facebook/?src=search,64,7,84.3 KiB,1.1,2017-02-05T20:17:35Z,0,0.0,Yasser Daheek,,False,Firefox,facebook
Facebook Blocker,https://addons.mozilla.org/en-US/firefox/addon/facebook-blocker/?src=search,65,7922,14.1 KiB,1.4.1-signed.1-signed,2012-01-10T14:11:32Z,24,3.5833,jmeissner,,False,Firefox,facebook
MH facebook get video link,https://addons.mozilla.org/en-US/firefox/addon/mh-facebook-get-video-link/?src=search,66,8,39.1 KiB,1.0,2016-09-24T06:36:58Z,0,0.0,Toda,,False,Firefox,facebook
Avoid Facebook share,https://addons.mozilla.org/en-US/firefox/addon/avoid-fb-share/?src=search,67,40,17.2 KiB,2.1.1-signed.1-signed,2015-02-28T14:17:43Z,0,0.0,Dimitris Κlouvas,https://github.com/dimkl,False,Firefox,facebook
Facebook 'Le Doy',https://addons.mozilla.org/en-US/firefox/addon/facebook-le-doy/?src=search,68,9,45.0 KiB,3.0,2010-09-27T21:00:50Z,6,4.1667,Matt Tbl,,False,Firefox,facebook
Friendbar - The Twitter and Facebook Toolbar,https://addons.mozilla.org/en-US/firefox/addon/friendbar-the-twitter-and-face/?src=search,69,46,1.7 MiB,5.0.4,2010-11-08T07:05:38Z,63,3.6032,friendbar admin,http://www.friendbar.com,False,Firefox,facebook
Youtube design and style,https://addons.mozilla.org/en-US/firefox/addon/youtube-design-et-style/?src=search,70,729,609.2 KiB,0.0.1,2016-04-27T15:58:53Z,8,3.625,Facebook Colors,,False,Firefox,facebook
Facebook Web Forum,https://addons.mozilla.org/en-US/firefox/addon/facebook-web-forum/?src=search,71,1,2.0 KiB,1.10,2009-07-28T21:57:00Z,3,3.3333,peterSK,http://www.google.com/profiles/taraba.peter,False,Firefox,facebook
Lu.ly - Facebook and Twitter Toolbar,https://addons.mozilla.org/en-US/firefox/addon/luly-facebook-and-twitter-tool/?src=search,72,1,701.0 KiB,2.5.8.99,2010-05-24T08:43:05Z,9,4.4444,Auric,http://goldfingerapps.com,False,Firefox,facebook
Twobble - Twitter share links for Facebook,https://addons.mozilla.org/en-US/firefox/addon/twobble/?src=search,73,27,23.5 KiB,1.03.1-signed.1-signed,2014-10-11T11:19:09Z,1,5.0,Donna,http://boo.ly/,False,Firefox,facebook
Facebook Ad Blocker,https://addons.mozilla.org/en-US/firefox/addon/facebook-ad-blocker/?src=search,74,439,7.0 KiB,0.0.0.5,2016-09-02T10:41:29Z,6,4.5,Citylogic,https://www.citylogic.tech/,False,Firefox,facebook
HugBack for Facebook,https://addons.mozilla.org/en-US/firefox/addon/hugback-for-facebook/?src=search,75,1,13.0 KiB,2.0,2007-04-13T00:48:00Z,7,3.5714,Jeremy Blanchard,http://eyermonkey.com,False,Firefox,facebook
HTTPS Facebook,https://addons.mozilla.org/en-US/firefox/addon/https-facebook/?src=search,76,451,10.1 KiB,0.4.1-signed.1-signed,2010-12-31T02:20:01Z,3,3.0,Niyaz,http://www.diovo.com/,False,Firefox,facebook
Notre Dame Facebook Style,https://addons.mozilla.org/en-US/firefox/addon/notre-dame-facebook-style/?src=search,77,1,43.0 KiB,3.0,2007-05-09T08:21:05Z,2,3.0,Nova and Sugarbear,http://www.sugarnet.net,False,Firefox,facebook
FACELOCK - read only Facebook,https://addons.mozilla.org/en-US/firefox/addon/facelock/?src=search,78,20,26.0 KiB,0.4.3,2017-03-25T09:27:25Z,1,5.0,legadas,,False,Firefox,facebook
HoFF- [Hide Offline Facebook Friends],https://addons.mozilla.org/en-US/firefox/addon/the-hoff/?src=search,79,35,13.0 KiB,1.5.5,2017-01-19T17:26:50Z,3,2.6667,Narender Thakur,http://blogpad.pw,False,Firefox,facebook
facebook-bookmark,https://addons.mozilla.org/en-US/firefox/addon/facebook-bookmark/?src=search,80,91,15.6 KiB,0.1,2015-07-28T11:13:17Z,1,5.0,Bolaram Paul,http://bolaram.tk/,False,Firefox,facebook
Facebook Search Extension,https://addons.mozilla.org/en-US/firefox/addon/facebook-search-extension/?src=search,81,1,24.0 KiB,0.12,2010-04-07T14:23:42Z,1,3.0,Facebook,http://www.facebook.com,False,Firefox,facebook
"Buckts - Facebook, RSS Reader, Shopping Discounts",https://addons.mozilla.org/en-US/firefox/addon/buckts-facebook-rss-reader-sho/?src=search,82,1,55.0 KiB,0.18,2010-12-01T14:56:05Z,7,4.0,Buckts Team,http://www.buckts.com,False,Firefox,facebook
Facebook Inspector,https://addons.mozilla.org/en-US/firefox/addon/fbi-facebook-inspector/?src=search,83,62,33.5 KiB,0.0.3,2015-12-30T11:14:35Z,0,0.0,Prateek Dewan,http://precog.iiitd.edu.in/people/prateek,False,Firefox,facebook
FBLinkStats,https://addons.mozilla.org/en-US/firefox/addon/facebook-linkstats/?src=search,84,65,251.3 KiB,1.04.1-signed.1-signed,2014-02-02T20:34:23Z,0,0.0,BaconBao,http://baconbao.blogspot.com/,False,Firefox,facebook
"Notifications, Messages, & Alerts for Facebook",https://addons.mozilla.org/en-US/firefox/addon/facebook-friend-request-notifi/?src=search,85,348,200.2 KiB,10.3.1-signed.1-signed.1-signed,2012-01-23T19:35:48Z,63,3.3175,Konverts,http://www.ffpimp.com,False,Firefox,facebook
CommentAnywhere.org for Facebook and VKontakte,https://addons.mozilla.org/en-US/firefox/addon/commentanywhere-org/?src=search,86,47,7.7 KiB,1.3.1,2016-02-11T13:50:41Z,0,0.0,CommentAnywhere.org,http://www.commentanywhere.org/,False,Firefox,facebook
Facebook AdBlocker,https://addons.mozilla.org/en-US/firefox/addon/social-networks-adblock/?src=search,87,2502,41.3 KiB,1.0.0.1,2016-05-16T10:43:36Z,3,5.0,Settle,,False,Firefox,facebook
Twitter Colors,https://addons.mozilla.org/en-US/firefox/addon/twitter-colors/?src=search,88,231,603.6 KiB,0.0.1,2016-05-06T09:06:40Z,3,4.0,Facebook Colors,,False,Firefox,facebook
Facebook Photo Appraiser,https://addons.mozilla.org/en-US/firefox/addon/facebook-photo-appraiser/?src=search,89,384,226.8 KiB,1.1.1-signed.1-signed,2013-05-14T09:07:50Z,6,3.8333,Iftekhar Mahmud Towhid,http://www.tlabsinc.com/,False,Firefox,facebook
Facebook Chat Layout,https://addons.mozilla.org/en-US/firefox/addon/facebook-chat-layout/?src=search,90,80,1.2 MiB,1.0.1-signed.1-signed,2013-12-31T00:50:23Z,3,3.3333,Ong Chee Hau,http://www.facebook.com/belivingo.o,False,Firefox,facebook
Facebook Chat Tapuz Emoticons,https://addons.mozilla.org/en-US/firefox/addon/facebook-chat-tapuz-emoticons/?src=search,91,144,11.8 KiB,1.5.1-signed.1-signed,2010-10-21T01:30:11Z,2,5.0,Evyatar Amitay,http://evyatar.amitay.me/,False,Firefox,facebook
Facebook Panda - Google Maps for Facebook,https://addons.mozilla.org/en-US/firefox/addon/facebook-panda-google-maps-/?src=search,92,52,46.1 KiB,1.1.1-signed.1-signed,2012-12-18T08:03:55Z,5,1.8,ben_in_berlin,http://www.viewfrommynose.com/,False,Firefox,facebook
Dark Facebook,https://addons.mozilla.org/en-US/firefox/addon/darker-better-facebook/?src=search,93,243,8.6 KiB,0.42,2017-04-24T13:28:23Z,5,4.2,ThenWat,,False,Firefox,facebook
Facebook Opener,https://addons.mozilla.org/en-US/firefox/addon/facebook-opener/?src=search,94,19,188.5 KiB,initial.rev2.1.1-signed.1-signed,2013-06-19T14:32:31Z,0,0.0,hamsterball,,False,Firefox,facebook
Facebook Admin Tool,https://addons.mozilla.org/en-US/firefox/addon/facebook-admin-tool/?src=search,95,181,12.6 KiB,2.1,2017-02-21T01:09:36Z,4,4.0,Song Taylor,,False,Firefox,facebook
Facebook Privacy Watcher,https://addons.mozilla.org/en-US/firefox/addon/facebook-privacy-watcher/?src=search,96,343,1.2 MiB,0.9.14a.1-signed.1-signed,2014-09-30T05:47:52Z,0,0.0,Daniel Puscher,http://www.daniel-puscher.de/,False,Firefox,facebook
Hide Mobile Facebook News Feed,https://addons.mozilla.org/en-US/firefox/addon/hide-mobile-facebook-news-feed/?src=search,97,35,9.6 KiB,1.0.0,2016-08-16T04:27:16Z,2,5.0,marzzbar7,,False,Firefox,facebook
Hide Facebook Live Ticker,https://addons.mozilla.org/en-US/firefox/addon/hide-facebook-live-ticker/?src=search,98,43,69.1 KiB,1.1.1-signed.1-signed,2011-09-24T23:17:22Z,1,5.0,Kalemi Design,http://www.facebook.com/Kalemi.Design,False,Firefox,facebook
