addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,validated,platform,search_term
Youtube Downloader (Mp3|Mp4),https://addons.mozilla.org/en-US/firefox/addon/youtube-downloader-mp3mp4/?src=search,55,4319,14.8 KiB,Version 0.1,2015-11-04T11:28:08Z,10,3.4,Альф,http://dinohost.ru,True,Firefox,mp3
MP3 Search,https://addons.mozilla.org/en-US/firefox/addon/mp3-search-1/?src=search,56,170,23.2 KiB,Version 0.0.1.0.1-signed.1-signed,2012-12-31T14:13:47Z,2,3.0,Weill Oliver Sanford,,True,Firefox,mp3
FullRip.net Youtube Mp3 converter/Video downloader,https://addons.mozilla.org/en-US/firefox/addon/fullripnet-youtube-video-mp3/?src=search,57,1554,16.0 KiB,Version 2.0.2.1-signed.1-signed,2013-03-14T09:22:03Z,15,3.2,FullRip.net,http://www.fullrip.net/,True,Firefox,mp3
Youtube to MP3 Converter Free,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-converter-free/?src=search,58,264,12.3 KiB,Version 1.0.0,2016-01-07T02:25:59Z,0,0.0,YoutubeMP3Free.org,http://youtubemp3free.org/,True,Firefox,mp3
YouTube To Mp3 Converter | Mp3 Converter,https://addons.mozilla.org/en-US/firefox/addon/mp3converter/?src=search,59,768,16.1 KiB,Version 2.0,2017-03-19T17:21:50Z,8,4.625,Mp3Converter.net,https://www.mp3converter.net,True,Firefox,mp3
YouTube to MP3 Free Converter,https://addons.mozilla.org/en-US/firefox/addon/321youtube/?src=search,60,6258,229.7 KiB,Version 1.3.1-signed.1-signed,2013-12-10T03:22:47Z,24,3.4167,deiu,,True,Firefox,mp3
WonTube YouTube to MP3 YouTube Downloader,https://addons.mozilla.org/en-US/firefox/addon/wontube-free-youtube-to-mp3/?src=search,61,1108,14.9 KiB,Version 1.0.4.1-signed.1-signed,2012-06-10T22:58:37Z,15,3.4,WonTube Studio,,True,Firefox,mp3
GTriddim Youtube To MP3 converter,https://addons.mozilla.org/en-US/firefox/addon/gtriddim-youtube-to-mp3/?src=search,62,199,175.3 KiB,Version 1.2.1-signed.1-signed,2013-06-11T08:39:23Z,6,2.8333,Anthony Johnson,http://www.gtriddim.net/,True,Firefox,mp3
百度MP3,https://addons.mozilla.org/en-US/firefox/addon/%E7%99%BE%E5%BA%A6mp3/?src=search,63,0,1.6 KiB,Version 20130201,2013-02-01T06:38:05Z,0,0.0,ricky he,http://www.weibo.com/337161691,True,Firefox,mp3
yaBeat - YouTube to MP3,https://addons.mozilla.org/en-US/firefox/addon/yabeat-youtube-to-mp3/?src=search,64,166,125.9 KiB,Version initial.rev8.1-signed.1-signed,2012-08-01T02:34:11Z,2,4.0,nishax11,,True,Firefox,mp3
From Youtube To MP3,https://addons.mozilla.org/en-US/firefox/addon/from-youtube-to-mp3/?src=search,65,413,59.3 KiB,Version 1.1.0.1-signed.1-signed,2013-02-01T01:32:45Z,12,2.6667,Rayto,,True,Firefox,mp3
Twojanuta.pl - Wyszukiwarka MP3,https://addons.mozilla.org/en-US/firefox/addon/wyszukiwarka-mp3/?src=search,66,0,1.0 KiB,Version 20111229,2011-12-29T17:26:38Z,0,0.0,Twojanuta.pl,http://twojanuta.pl/,True,Firefox,mp3
Easy YouTube MP3 Downloader,https://addons.mozilla.org/en-US/firefox/addon/easy-youtube-mp3-downloader/?src=search,67,1856,11.9 KiB,Version 1.7.1-signed.1-signed,2011-03-02T13:18:26Z,9,2.2222,Kaaj,,True,Firefox,mp3
YouTube converter to mp3 online,https://addons.mozilla.org/en-US/firefox/addon/youtube-converter-to-mp3-onlin/?src=search,68,172,15.4 KiB,Version 0.95.17.9,2015-10-29T10:51:00Z,0,0.0,Artur,,True,Firefox,mp3
