addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,validated,platform,search_term
"LaTeX, Desmos, and PDF extension",https://chrome.google.com/webstore/detail/latex-desmos-and-pdf-exte/kkecifdokfegdcdmejfpambcjfppaing,127,387,3.7MiB,1.2.0.3,"April 26, 2016",2,5.0,,,True,Chrome,pdf
"Save Text to PDF, WORD, EXCEL or Send EMAIL",https://chrome.google.com/webstore/detail/save-text-to-pdf-word-exc/fekmmlpjhkgpmlmgbfmdlngdclmncpke,128,90,38.9KiB,1.4.3,"April 30, 2017",7,4.42857142857,selectosave,https://www.facebook.com/select2save/,True,Chrome,pdf
IntoWords,https://chrome.google.com/webstore/detail/intowords/nfphpgdlkoindbccbdmilopgeafllemo,129,137870,735KiB,2.4.10,"April 24, 2017",84,3.03571428571,,,True,Chrome,pdf
Nextsense PDF Signing Component,https://chrome.google.com/webstore/detail/nextsense-pdf-signing-com/dfjbpjcgbmpmjacdgflidcbdojphlhmd,130,53,452KiB,0.0.5.0,"March 8, 2017",8,5.0,https://signingextension.nextsense.com,http://signingextension.nextsense.com/,True,Chrome,pdf
Convert Doc to PDF New Tab,https://chrome.google.com/webstore/detail/convert-doc-to-pdf-new-ta/fmhmcmcddfoaelhiifhlaemajghohkfc,131,119,120KiB,1.0.104,"February 9, 2017",1,1.0,www.convertdocpdf.com,http://www.convertdocpdf.com,True,Chrome,pdf
PDF Markup - My Web Markups & Highlighter,https://chrome.google.com/webstore/detail/pdf-markup-my-web-markups/cbjngbfjehiofmihfpodinolkcokdojp,132,145,594KiB,1.0.0,"February 19, 2017",6,4.33333333333,www.kdanmobile.com,http://www.kdanmobile.com,True,Chrome,pdf
PDF to OCR Text Converter,https://chrome.google.com/webstore/detail/pdf-to-ocr-text-converter/cbdfhfjemjbndkgeafknoifghpfmhpbl,133,55,14.6KiB,0.0.0.1,"March 20, 2017",0,0.0,search.rspark.com,http://search.rspark.com,True,Chrome,pdf
D-ToolBox,https://chrome.google.com/webstore/detail/d-toolbox/jglhicdjgkdpoeepmenmpkdnfbekdoko,134,1717,89.87KiB,1.1,"July 30, 2014",3,4.66666666667,www.cloud34.fr,http://www.cloud34.fr,True,Chrome,pdf
Pin a pdf,https://chrome.google.com/webstore/detail/pin-a-pdf/gkmajjfpbcmhocnmkbfoiieenlmdkapi,135,814,494KiB,1.0,"August 9, 2013",11,2.72727272727,,,True,Chrome,pdf
Merge PDF,https://chrome.google.com/webstore/detail/merge-pdf/odoekjadkpplgjhcnhbmfafpaigebgbg,136,152,12.51KiB,1.0,"January 18, 2017",0,0.0,zonepdf.com,https://zonepdf.com/merge-pdf,True,Chrome,pdf
Add Photos to PDF Documents - PDFfiller,https://chrome.google.com/webstore/detail/add-photos-to-pdf-documen/bfdnalgoljknelfkinhelfcfdklccnpg,137,43,65.91KiB,0.2.6,"July 8, 2016",0,0.0,pdffiller.com,http://pdffiller.com,True,Chrome,pdf
FromDocToPDF,https://chrome.google.com/webstore/detail/fromdoctopdf/mallpejgeafdahhflmliiahjdpgbegpk,138,10000000,712KiB,12.600.11.23646,"April 11, 2017",927,2.5544768069,fromdoctopdf.com,http://fromdoctopdf.com,True,Chrome,pdf
Copyfish 🐟 Free OCR Software,https://chrome.google.com/webstore/detail/copyfish-%F0%9F%90%9F-free-ocr-soft/eenjdnjldapjajjofmldgmkjaienebbj,139,33398,156KiB,2.6.6,"March 21, 2017",149,4.04026845638,ocr.space,http://ocr.space,True,Chrome,pdf
Host PDF Online Using LinkToFill - PDFfiller,https://chrome.google.com/webstore/detail/host-pdf-online-using-lin/ojbinapifapakcfgnifoppjeekimjdpe,140,28,65.92KiB,0.2.6,"July 20, 2016",0,0.0,pdffiller.com,http://pdffiller.com,True,Chrome,pdf
EXIF Viewer,https://chrome.google.com/webstore/detail/exif-viewer/mmbhfeiddhndihdjeganjggkmjapkffm,141,43951,512KiB,2.4.1,"October 17, 2016",369,3.56368563686,,,True,Chrome,pdf
Delete Text In PDF - PDFfiller,https://chrome.google.com/webstore/detail/delete-text-in-pdf-pdffil/amfekfgkiegbdoajbilbjlkoicpaopik,142,26,65.9KiB,0.2.7,"February 22, 2017",1,5.0,https://delete-text-in-pdf.pdffiller.com,https://delete-text-in-pdf.pdffiller.com,True,Chrome,pdf
Combine PDF Tab,https://chrome.google.com/webstore/detail/combine-pdf-tab/jhikfnbjjehnpgphhngpokhfgpcckkba,143,31,207KiB,1.0.0,"November 8, 2016",0,0.0,,,True,Chrome,pdf
Create Editable PDF Forms - PDFfiller,https://chrome.google.com/webstore/detail/create-editable-pdf-forms/fmcocfhklodniopdodlcpckfacaoaole,144,53,65.91KiB,0.2.7,"February 20, 2017",1,4.0,https://editable-form.pdffiller.com,https://editable-form.pdffiller.com,True,Chrome,pdf
Chess.com (v3) Analysis,https://chrome.google.com/webstore/detail/chesscom-v3-analysis/bhjlkimpkkgkmfjlcfngmakenalgleap,145,2678,70.88KiB,2.5.4,"January 3, 2017",17,3.76470588235,,,True,Chrome,pdf
Hand Tool,https://chrome.google.com/webstore/detail/hand-tool/paflchebahgbgeambpbhoieeanaddehf,146,3014,89.44KiB,1.3.0,"December 18, 2014",49,3.5306122449,,,True,Chrome,pdf
the paper link for PubMed (limited),https://chrome.google.com/webstore/detail/the-paper-link-for-pubmed/emdponcknibglcjeidbemionclljooao,147,1912,176KiB,2.6.0,"March 22, 2017",22,4.27272727273,thepaperlink.com,http://thepaperlink.com,True,Chrome,pdf
PDF 4x6 Printer,https://chrome.google.com/webstore/detail/pdf-4x6-printer/cbjfhpmpgolcfdnphokchpnobjammnbo,148,154,3.49KiB,1.0,"September 16, 2016",1,4.0,,,True,Chrome,pdf
Excel to PDF Converter,https://chrome.google.com/webstore/detail/excel-to-pdf-converter/ebicppbdnhcoffnnljdiclfiapmnnjdk,149,32,22.94KiB,0.0.0.1,"March 14, 2017",0,0.0,search.rspark.com,http://search.rspark.com,True,Chrome,pdf
Add Pictures to PDF Documents - PDFfiller,https://chrome.google.com/webstore/detail/add-pictures-to-pdf-docum/ffejagfedijcljfpolenpfehhpfknnhl,150,29,65.91KiB,0.2.6,"July 8, 2016",0,0.0,add-pictures-pdf.pdffiller.com,http://add-pictures-pdf.pdffiller.com,True,Chrome,pdf
