addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Dark Skin for Youtube™,https://chrome.google.com/webstore/detail/dark-skin-for-youtube/bfeknfgchonpnofdjokchhdhdnddhglm,19,511984,40.66KiB,2.0.0,"April 27, 2017",2383,4.60679815359,Georgy Angelov,,False,Chrome,youtube
YouTube Advanced Control,https://chrome.google.com/webstore/detail/youtube-advanced-control/lncbjnhgcbljbgfkahhpeldkflfcplan,20,50496,830KiB,2.2.9,"October 22, 2016",1104,3.26268115942,YouTube Advanced Control,https://www.facebook.com/youtubeplusplus,False,Chrome,youtube
YouTube™ Flash-HTML5,https://chrome.google.com/webstore/detail/youtube-flash-html5/omimccinlhlkpjaeaocglgmkbelejlhj,21,70888,83.73KiB,0.1.4,"December 14, 2016",170,3.88823529412,MyBrowserAddon,http://mybrowseraddon.com/youtube-flash-html.html,False,Chrome,youtube
Hide YouTube Comments,https://chrome.google.com/webstore/detail/hide-youtube-comments/kehdmnjmaakacofbgmjgjapbbibhafoh,22,159459,8.34KiB,0.6.1,"May 3, 2016",525,4.78285714286,Michal Stankoviansky,,False,Chrome,youtube
Adblock Plus for YouTube™,https://chrome.google.com/webstore/detail/adblock-plus-for-youtube/ppejmaapfaehlikmnkbmlhbmhniacpon,23,31511,118KiB,2.0.1,"March 18, 2017",253,4.60869565217,YouTube Plus,,False,Chrome,youtube
AdBlockPro - Adblocker for Facebook & Youtube,https://chrome.google.com/webstore/detail/adblockpro-adblocker-for/ogdcomcbjdlgppjnfkehfdblagaamebp,24,35783,103KiB,2.4,"September 13, 2016",159,3.4465408805,webshields.org,http://webshields.org,False,Chrome,youtube
Black and Red Theme for YouTube™,https://chrome.google.com/webstore/detail/black-and-red-theme-for-y/ldgblendkekanjhdamohllnfpcdbgmbj,25,23995,30.63KiB,1.60.6,"April 2, 2016",314,4.21974522293,dmitrii.nuzhin.123,,False,Chrome,youtube
Dark Theme for Youtube™,https://chrome.google.com/webstore/detail/dark-theme-for-youtube/bgcmpcojmomkonlajfoaaakhlkckojpk,26,15358,310KiB,2.0.6,"April 19, 2017",127,4.73228346457,Save My Eyes,,False,Chrome,youtube
Pro Mode for YouTube Video Editor,https://chrome.google.com/webstore/detail/pro-mode-for-youtube-vide/aenmbapdfjdkanhfppdmmdipakgacanp,27,25740,363KiB,0.24,"December 8, 2016",252,3.73412698413,Kelly Davis,http://kldavis4.github.io/Pro-Mode-for-YouTube-Video-Editor/,False,Chrome,youtube
Flash Player for YouTube™,https://chrome.google.com/webstore/detail/flash-player-for-youtube/lljhpdalfpihmdokpgmobnbeibbkignc,28,139276,36.4KiB,0.1.5,"December 5, 2016",273,4.04761904762,MyBrowserAddon,http://mybrowseraddon.com/flash-player-for-youtube.html,False,Chrome,youtube
Tags for YouTube™,https://chrome.google.com/webstore/detail/tags-for-youtube/dggphokdgjikekfiakjcpidcclbmkfga,29,60271,24.56KiB,7.5,"April 20, 2017",293,4.59726962457,M. M. Bos,,False,Chrome,youtube
YouTube High Definition,https://chrome.google.com/webstore/detail/youtube-high-definition/dokdlgjaaaijndfajoknjbelmadhomca,30,11477,71.77KiB,25.0,"November 28, 2016",69,4.34782608696,barisderin.com,http://barisderin.com,False,Chrome,youtube
Subscriptions Grid For YouTube™,https://chrome.google.com/webstore/detail/subscriptions-grid-for-yo/dcnjhgnfnmijfkmcddcmffeamphmmeed,31,43621,75.15KiB,1.19.1,"July 15, 2016",556,4.42625899281,Dan Smith,https://twitter.com/subsgrid,False,Chrome,youtube
Stop Ads for Youtube™,https://chrome.google.com/webstore/detail/stop-ads-for-youtube/eokpdmpbpjnfjgmakkggihfnnegpiglh,32,15500,383KiB,1.2.17,"February 26, 2017",51,4.07843137255,Web Apps,,False,Chrome,youtube
Auto HD For YouTube™,https://chrome.google.com/webstore/detail/auto-hd-for-youtube/koiaokdomkpjdgniimnkhgbilbjgpeak,33,521875,98.18KiB,6.91,"June 2, 2016",9730,4.41223021583,dingosolutions,http://www.autohdforyoutube.com/,False,Chrome,youtube
Subtitles For YouTube,https://chrome.google.com/webstore/detail/subtitles-for-youtube/oanhbddbfkjaphdibnebkklpplclomal,34,32651,3.59MiB,4.2.18,"February 17, 2017",290,3.94482758621,Yash Agarwal,,False,Chrome,youtube
Popout for YouTube™,https://chrome.google.com/webstore/detail/popout-for-youtube/pofekaindcmmojfnfgbpklepkjfilcep,35,63710,20.34KiB,5.0.11,"September 8, 2016",388,3.80927835052,Justin Force,http://github.com/justinforce/popout_for_youtube,False,Chrome,youtube
