job_name,job_id,job_url,listing_type,company,location,search_rank
Data Scientist H/F,152b19b88998a0e8,https://www.indeed.fr/voir-emploi?jk=152b19b88998a0e8,organicJob,,Haute-Garonne,61
European Power Data Scientist Internship,8371a95d139ed70b,https://www.indeed.fr/voir-emploi?jk=8371a95d139ed70b,organicJob,EDF Trading,Paris (75),62
Data Analyst H/F,34e8e4668e542943,https://www.indeed.fr/voir-emploi?jk=34e8e4668e542943,organicJob,Renault,Guyancourt (78),63
Consultant(e) Dataminer – Data scientist H/F,3df2567e907cbf60,https://www.indeed.fr/voir-emploi?jk=3df2567e907cbf60,organicJob,INEOX,Paris (75),64
Spécialiste de données Maintenance H/F,3925544e00edde34,https://www.indeed.fr/voir-emploi?jk=3925544e00edde34,organicJob,Renault,Guyancourt (78),65
Data Scientist (H/F),4981dd7153873e89,https://www.indeed.fr/voir-emploi?jk=4981dd7153873e89,organicJob,Vestiaire Collective,Paris (75),66
Data Scientist H/F,7644776e9a5f8739,https://www.indeed.fr/voir-emploi?jk=7644776e9a5f8739,organicJob,Sogeti,France,67
Consultant(e)s data scientist R et/ou Python (Projet BIG DAT...,9364e2dcfbad7976,https://www.indeed.fr/voir-emploi?jk=9364e2dcfbad7976,organicJob,ANAYA,Paris 1er (75),68
Data Scientist (H/F),13a8b90528b25fb5,https://www.indeed.fr/voir-emploi?jk=13a8b90528b25fb5,organicJob,SAINT-GOBAIN,Oise,69
Data Scientist H/F,d514dcc1be70ec80,https://www.indeed.fr/voir-emploi?jk=d514dcc1be70ec80,organicJob,Merck KGaA,Molsheim (67),70
DATA ANALYST H/F,3f485c5502d84129,https://www.indeed.fr/voir-emploi?jk=3f485c5502d84129,organicJob,PIERRE FABRE S.A.,Castres (81),71
DATA SCIENTIST F/H,920d653622032b77,https://www.indeed.fr/voir-emploi?jk=920d653622032b77,organicJob,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,Toulouse (31),72
"Data Scientist, Staff",4d7dc3aab13c9dc8,https://www.indeed.fr/voir-emploi?jk=4d7dc3aab13c9dc8,organicJob,TIBCO Software,Paris (75),73
Data scientist Lyon,d9a1505d9a904941,https://www.indeed.fr/voir-emploi?jk=d9a1505d9a904941,organicJob,MP DATA,Montrouge (92),74
R&D - Data Scientist,4a754274521fb664,https://www.indeed.fr/voir-emploi?jk=4a754274521fb664,organicJob,Amaris,Nice (06),75
Consultant(e) Dataminer – Data scientist F/H,611f9517f5b08f58,https://www.indeed.fr/voir-emploi?jk=611f9517f5b08f58,organicJob,INEOX,Bordeaux (33),76
Data Scientist Junior,9b6ccbb44feea97e,https://www.indeed.fr/voir-emploi?jk=9b6ccbb44feea97e,organicJob,OneStock,Toulouse (31),77
Data Scientist F/H,2344fef320929f85,https://www.indeed.fr/voir-emploi?jk=2344fef320929f85,organicJob,SOFALI,Paris 9e (75),78
Data scientist F/H,afe7152252c0a3bf,https://www.indeed.fr/voir-emploi?jk=afe7152252c0a3bf,organicJob,ONCODESIGN,Dijon (21),79
Data scientist,acf56690b718ddf0,https://www.indeed.fr/voir-emploi?jk=acf56690b718ddf0,organicJob,Happn,Paris (75),80
Data Scientist H/F,f153981934920895,https://www.indeed.fr/voir-emploi?jk=f153981934920895,organicJob,KairosFire,Paris 8e (75),81
Data Scientist (Lyon CDI) H/F,509e607316288b4a,https://www.indeed.fr/voir-emploi?jk=509e607316288b4a,organicJob,Cegid Group,Lyon (69),82
Data Scientist,390dfd2a89787226,https://www.indeed.fr/voir-emploi?jk=390dfd2a89787226,organicJob,CPAM de Dijon,Dijon (21),83
Data Scientist Internship (M/F),f81cecbc0c4aa344,https://www.indeed.fr/voir-emploi?jk=f81cecbc0c4aa344,organicJob,Adomik,Paris (75),84
DATA SCIENTIST MEDIUM,838443780d64a917,https://www.indeed.fr/voir-emploi?jk=838443780d64a917,organicJob,Publicis Worldwide,Suresnes (92),85
• Data Scientist (F/H),4f70ff5da841fb02,https://www.indeed.fr/voir-emploi?jk=4f70ff5da841fb02,organicJob,METRO CASH & CARRY France,Nanterre (92),86
CONSULTANT DATAMINER / DATA SCIENTIST F/H,f08296ecbebc682e,https://www.indeed.fr/voir-emploi?jk=f08296ecbebc682e,organicJob,QUINTESS,Paris 9e (75),87
Data Scientist H/F,4886df388ce88a67,https://www.indeed.fr/voir-emploi?jk=4886df388ce88a67,organicJob,Loyalty Company,Paris (75),88
Data Scientist Stagiaire H/F,1a59b0dc4854ba9f,https://www.indeed.fr/voir-emploi?jk=1a59b0dc4854ba9f,organicJob,Le Télégramme,Morlaix (29),89
