job_name,job_id,job_url,listing_type,company,location,search_rank
Data Analyst - Search & Recommendation (M/F),008bc83e488c7b15,https://www.indeed.fr/voir-emploi?jk=008bc83e488c7b15,organicJob,Dailymotion,Paris (75),58
Data Analyst junior (H/F) - Massy,310ca1dc02119f8f,https://www.indeed.fr/voir-emploi?jk=310ca1dc02119f8f,organicJob,Carrefour,Massy (91),59
Data Analyst - Big Data F/H,5c599c2a8975aa36,https://www.indeed.fr/voir-emploi?jk=5c599c2a8975aa36,organicJob,GENICORP,Colombes (92),60
Client Data Analyst - PARIS,97bf0845c7811b13,https://www.indeed.fr/voir-emploi?jk=97bf0845c7811b13,organicJob,JOOR,Paris (75),61
Apprenti(e) - Analyste Business Intelligence H/F,dfbd417f3cdaeacc,https://www.indeed.fr/voir-emploi?jk=dfbd417f3cdaeacc,organicJob,Air France-KLM,Roissy-en-France (95),62
CHEF DE PROJETS DATA ANALYST (H/F),a98ed75d41983c01,https://www.indeed.fr/voir-emploi?jk=a98ed75d41983c01,organicJob,NRJ,Paris 16e (75),63
Consultant -Business analyst – Reference Data,7ea989240059c9d5,https://www.indeed.fr/voir-emploi?jk=7ea989240059c9d5,organicJob,CAPCO,Paris (75),64
Un(e) Data Analyst - F/H,63836866a0c91925,https://www.indeed.fr/voir-emploi?jk=63836866a0c91925,organicJob,ACTION CONTRE LA FAIM,Paris 17e (75),65
Data Analyst,5586e2cd1c0d9b0a,https://www.indeed.fr/voir-emploi?jk=5586e2cd1c0d9b0a,organicJob,Ingima,Paris (75),66
Chef de projet Data analyst - H/F,95c876481a0a6f22,https://www.indeed.fr/voir-emploi?jk=95c876481a0a6f22,organicJob,EDF,Paris (75),67
Data Analyst Associate,533c8b947013f7a0,https://www.indeed.fr/voir-emploi?jk=533c8b947013f7a0,organicJob,Fifty Five,Paris (75),68
Analyste data mining F/H,daf798249f45cd7f,https://www.indeed.fr/voir-emploi?jk=daf798249f45cd7f,organicJob,BOUYGUES TELECOM,Meudon (92),69
Business Data Analyst - CDD 12 mois,ae2df7c95d12ad0e,https://www.indeed.fr/voir-emploi?jk=ae2df7c95d12ad0e,organicJob,AXA Funds Management,Paris (75),70
INTERNSHIP RESEARCH ANALYST ASSISTANT,bbc499843be1dddb,https://www.indeed.fr/voir-emploi?jk=bbc499843be1dddb,organicJob,Kepler Cheuvreux,Paris 16e (75),71
Data Analyste,e2306769caca5fc3,https://www.indeed.fr/voir-emploi?jk=e2306769caca5fc3,organicJob,Businessdata consulting,Paris (75),72
Data Scientist,665648454837d77d,https://www.indeed.fr/voir-emploi?jk=665648454837d77d,organicJob,MFG Labs,Paris 9e (75),73
Data analyst F/H,0ef2ef4c7d417805,https://www.indeed.fr/voir-emploi?jk=0ef2ef4c7d417805,organicJob,TEMENIS CONSEIL,Paris 16e (75),74
Data analyst / manager - H/F,4ca95fab21cb83c2,https://www.indeed.fr/voir-emploi?jk=4ca95fab21cb83c2,organicJob,TERRA SA,Paris 19e (75),75
Stage Sourcing Data Analyst h/f Paris,7f28e5dd3ebc99cf,https://www.indeed.fr/voir-emploi?jk=7f28e5dd3ebc99cf,organicJob,EasyLoisirs,Paris 12e (75),76
Data Analyst Intern,d4af3dd9ab8d0606,https://www.indeed.fr/voir-emploi?jk=d4af3dd9ab8d0606,organicJob,Aircall,Paris (75),77
Analyste Reporting Financier H/F,a74afb4cb6e7ccf2,https://www.indeed.fr/voir-emploi?jk=a74afb4cb6e7ccf2,organicJob,ING Direct,Paris (75),78
Data Scientist/Analyst,d1e37fb6f077398d,https://www.indeed.fr/voir-emploi?jk=d1e37fb6f077398d,organicJob,Edjing,Boulogne-Billancourt (92),79
Data/web Analyst F/H,3e19d4cbcc9f212b,https://www.indeed.fr/voir-emploi?jk=3e19d4cbcc9f212b,organicJob,IQ ANALYTICS,Paris 1er (75),80
Data Miner & Analyst CRM | 45/55K€,15da18e1dfda3fdc,https://www.indeed.fr/voir-emploi?jk=15da18e1dfda3fdc,organicJob,Groupe Média 30M visiteurs,Paris (75),81
Data Analyst,9b575fe8c2c7191a,https://www.indeed.fr/voir-emploi?jk=9b575fe8c2c7191a,organicJob,Dailymotion,Paris (75),82
Analyste Product Control H/F,07a32f9652881a01,https://www.indeed.fr/voir-emploi?jk=07a32f9652881a01,organicJob,Dexia,Paris (75),83
Analyste BI Supply Chain (H/F),6c701d96fc575503,https://www.indeed.fr/voir-emploi?jk=6c701d96fc575503,organicJob,SGDBF,Paris (75),84
Analyste MOA entrepôt de données H/F,62fc01e05aa937f3,https://www.indeed.fr/voir-emploi?jk=62fc01e05aa937f3,organicJob,LCL,Villejuif (94),85
Data & Business Analyst Junior,9420928c04a69fdf,https://www.indeed.fr/voir-emploi?jk=9420928c04a69fdf,organicJob,BIRCHBOX,Paris 17e (75),86
Analyste Business Intelligence H/F,bf1bb7347e1a8960,https://www.indeed.fr/voir-emploi?jk=bf1bb7347e1a8960,organicJob,PMU,Paris (75),87
Analyste de Données CRM F/H,1158d21519c089cc,https://www.indeed.fr/voir-emploi?jk=1158d21519c089cc,organicJob,"LOOK PRO, LOOK VOYAGES DISTRIBUTION",Ivry-sur-Seine (94),88
Chief data Officer (H/F),4d46a74405fa6d1e,https://www.indeed.fr/voir-emploi?jk=4d46a74405fa6d1e,organicJob,Renault,Le Plessis-Robinson (92),89
Data Analyst F/H,3244a03dc6a3a72e,https://www.indeed.fr/voir-emploi?jk=3244a03dc6a3a72e,organicJob,KORN FERRY / FUTURESTEP,Le Plessis-Robinson (92),90
Data Miner & Analyst CRM F/H,16c456f62719d460,https://www.indeed.fr/voir-emploi?jk=16c456f62719d460,organicJob,DATA RECRUTEMENT,Paris 1er (75),91
Data Analyst Marketing Client (H/F),89b483b68e183a1b,https://www.indeed.fr/voir-emploi?jk=89b483b68e183a1b,organicJob,Cdiscount,Paris (75),92
Data Scientist,d5c3ee2d06275152,https://www.indeed.fr/voir-emploi?jk=d5c3ee2d06275152,organicJob,BlaBlaCar,Paris (75),93
Data Analyst,2746650653255658,https://www.indeed.fr/voir-emploi?jk=2746650653255658,organicJob,HR Communications Manager,Levallois-Perret (92),94
Data Analyst H/F,7313590c18974000,https://www.indeed.fr/voir-emploi?jk=7313590c18974000,organicJob,Groupe M6,Rungis (94),95
DATA ANALYST EXPERIMENTÉ H/F,5069acb19e1f578e,https://www.indeed.fr/voir-emploi?jk=5069acb19e1f578e,organicJob,Malakoff médéric,Paris (75),96
Data Analyst,f0b0eeca7e16fbf7,https://www.indeed.fr/voir-emploi?jk=f0b0eeca7e16fbf7,organicJob,Plastic Omnium,Levallois-Perret (92),97
Analyste veille Réglementaire / Regulatory Analyst (H/F),fef858c7a96f40ae,https://www.indeed.fr/voir-emploi?jk=fef858c7a96f40ae,organicJob,NeoXam,Paris (75),98
Analyste data mining H/F,b239ff528db85869,https://www.indeed.fr/voir-emploi?jk=b239ff528db85869,organicJob,Bouygues Telecom,Meudon (92),99
Data Analyst - Intelligent Content H/F,5ab57026c2c449db,https://www.indeed.fr/voir-emploi?jk=5ab57026c2c449db,organicJob,iProspect,La Défense (92),100
Analyste Data-Monitoring & Reporting H/F,e71f95727396b77b,https://www.indeed.fr/voir-emploi?jk=e71f95727396b77b,organicJob,Crédit Agricole CIB,Montrouge (92),101
Short Term Power Analyst - H/F,86a0b5b0579dbc78,https://www.indeed.fr/voir-emploi?jk=86a0b5b0579dbc78,organicJob,EDF,Saint-Denis (93),102
Data Analyst SAS,938775a99fcc991b,https://www.indeed.fr/voir-emploi?jk=938775a99fcc991b,organicJob,Novencia,Paris (75),103
Data scientist H/F,1aad976e86804792,https://www.indeed.fr/voir-emploi?jk=1aad976e86804792,organicJob,AUTICONSULT,Paris 6e (75),104
DATA QUALITY ANALYST F/H,2c6abc02b9bf8611,https://www.indeed.fr/voir-emploi?jk=2c6abc02b9bf8611,organicJob,GIE GROUPE AVIVA,Bois-Colombes (92),105
Data Engineer – Data Warehouse/Analytics (M/F),1940107d6541713a,https://www.indeed.fr/voir-emploi?jk=1940107d6541713a,organicJob,Dailymotion,Paris (75),106
Consultant(e)s data analyst R et/ou Python F/H,9b038009b6a9adf3,https://www.indeed.fr/voir-emploi?jk=9b038009b6a9adf3,organicJob,ANAYA,Paris 1er (75),107
Shopping and Delivery Experience - Business Analyst,13c0c1bdc4b18dd4,https://www.indeed.fr/voir-emploi?jk=13c0c1bdc4b18dd4,organicJob,Amazon France Services SaS,Paris (75),108
Analyste et AMOA Digital (H/F),54f4da2454458b2a,https://www.indeed.fr/voir-emploi?jk=54f4da2454458b2a,organicJob,Groupe Estia,Paris (75),109
Data Analyst - Intelligent Content H/F,98473931cb1120f8,https://www.indeed.fr/voir-emploi?jk=98473931cb1120f8,organicJob,Dentsu Aegis,La Défense (92),110
Analyste de données - Projet outil de l'incidentologue (H/F),e92b5d9756005887,https://www.indeed.fr/voir-emploi?jk=e92b5d9756005887,organicJob,Renault,Guyancourt (78),111
SENIOR DATA ANALYST H/F,4649d93488f29d64,https://www.indeed.fr/voir-emploi?jk=4649d93488f29d64,organicJob,Audience Plus,Paris (75),112
Business Analyst (H/F),8c5065619eda379f,https://www.indeed.fr/voir-emploi?jk=8c5065619eda379f,organicJob,Databerries,Paris (75),113
Stage Data Scientist/Data Analyst,140837839bf704be,https://www.indeed.fr/voir-emploi?jk=140837839bf704be,organicJob,Rexel,Paris (75),114
Business Analyst / Data Scientist (Intership),ca22e3544a832b36,https://www.indeed.fr/voir-emploi?jk=ca22e3544a832b36,organicJob,Wabel,Paris (75),115
Business Data Analyst (H/F),29288f10d2e4b45a,https://www.indeed.fr/voir-emploi?jk=29288f10d2e4b45a,organicJob,Target2Sell,Paris (75),116
Analyste Big Data H/F,37ebd57ec2d91976,https://www.indeed.fr/voir-emploi?jk=37ebd57ec2d91976,organicJob,Groupe Crédit Agricole,Villejuif (94),117
Data Analyst/ Data cruncher F/H,33e381e35f16d4fd,https://www.indeed.fr/voir-emploi?jk=33e381e35f16d4fd,organicJob,RENAULT SAS,Le Plessis-Robinson (92),118
Business Development Analyst (Internship),3cf685c159e4225e,https://www.indeed.fr/voir-emploi?jk=3cf685c159e4225e,organicJob,Deezer,Paris (75),119
Chargé de Reporting F/H,3ede67ac5a140867,https://www.indeed.fr/voir-emploi?jk=3ede67ac5a140867,organicJob,JOHN PAUL,Paris 8e (75),120
Operations data analyst intern (Paris),0b2240ac5a45f214,https://www.indeed.fr/voir-emploi?jk=0b2240ac5a45f214,organicJob,Stuart,Paris (75),121
Analyste Big Data H/F,16de8b5b70a92026,https://www.indeed.fr/voir-emploi?jk=16de8b5b70a92026,organicJob,LCL,Villejuif (94),122
Analyste Business Intelligence / Yield F/H,3850542d4e5d2a0f,https://www.indeed.fr/voir-emploi?jk=3850542d4e5d2a0f,organicJob,LA PLACE MEDIA,Paris 18e (75),123
Alternant analyste développeur BI (H/F),0a720b1327418f0c,https://www.indeed.fr/voir-emploi?jk=0a720b1327418f0c,organicJob,Natixis,Paris (75),124
Data Analyst,30a3e1a4134d50de,https://www.indeed.fr/voir-emploi?jk=30a3e1a4134d50de,organicJob,Fifty Five,Paris (75),125
Analyste Big Data Junior- Ericsson,129a212ec8fb104d,https://www.indeed.fr/voir-emploi?jk=129a212ec8fb104d,organicJob,Ericsson,Massy (91),126
Développeur outils data - Stagiaire H/F,23812f82a59739ec,https://www.indeed.fr/voir-emploi?jk=23812f82a59739ec,organicJob,Ubisoft,Montreuil (93),127
Business Analyst - Internship,437d3999fcd52476,https://www.indeed.fr/voir-emploi?jk=437d3999fcd52476,organicJob,AXA General Insurance,Paris (75),128
Analyste en Maitrise d'Ouvrage,21fec58eab28a38b,https://www.indeed.fr/voir-emploi?jk=21fec58eab28a38b,organicJob,BNP Paribas,Pantin (93),129
Data Analyst junior (H/F) - Massy,e96bf084fcd07273,https://www.indeed.fr/voir-emploi?jk=e96bf084fcd07273,organicJob,,Massy (91),130
Manager Données Digitales (H/F) - Massy,1c76d42c224dae0c,https://www.indeed.fr/voir-emploi?jk=1c76d42c224dae0c,organicJob,Carrefour,Massy (91),131
Consultant Data Analyst (H/F),4549d166b05884e2,https://www.indeed.fr/voir-emploi?jk=4549d166b05884e2,organicJob,NovaGen Conseil,Paris (75),132
UN DATA ANALYST EN STAGE (H/F),7391e6d3e11536c6,https://www.indeed.fr/voir-emploi?jk=7391e6d3e11536c6,organicJob,Action contre la faim,Paris (75),133
Stage Data & Studies – Data Analyst F/H),17caa53a19305908,https://www.indeed.fr/voir-emploi?jk=17caa53a19305908,organicJob,Withings,Paris (75),134
Geographic Information Systems Programmer and Analyst,32ae1c3a92d2be89,https://www.indeed.fr/voir-emploi?jk=32ae1c3a92d2be89,organicJob,OCDE,Paris (75),135
Analyst,7b2d69d7ebefeae6,https://www.indeed.fr/voir-emploi?jk=7b2d69d7ebefeae6,organicJob,isg,Paris (75),136
Data Analyst H/F,49409921e2e99868,https://www.indeed.fr/voir-emploi?jk=49409921e2e99868,organicJob,Malakoff médéric,Paris 13e (75),137
Account Services Business Analyst (H/F),ba377841f8d88d66,https://www.indeed.fr/voir-emploi?jk=ba377841f8d88d66,organicJob,SAP,Paris (75),138
Inside Data Science Internship,988e33424ec0aa01,https://www.indeed.fr/voir-emploi?jk=988e33424ec0aa01,organicJob,Dataiku,Paris (75),139
Reporting Analyst - Alternance,300883949777de71,https://www.indeed.fr/voir-emploi?jk=300883949777de71,organicJob,Criteo,Paris (75),140
Web-analyst / Data analyst (H/F),b94a598f0f5cdd08,https://www.indeed.fr/voir-emploi?jk=b94a598f0f5cdd08,organicJob,JobTeaser,Paris (75),141
Data Analyst H/F,436d6932f174e0e7,https://www.indeed.fr/voir-emploi?jk=436d6932f174e0e7,organicJob,mediametrie,Levallois-Perret (92),142
Business Analyste Compliance Règlementaire (H/F),fb5392d471559d6e,https://www.indeed.fr/voir-emploi?jk=fb5392d471559d6e,organicJob,NeoXam,Paris (75),143
Assistant(e) Analyste CRM,db04187dc45a0650,https://www.indeed.fr/voir-emploi?jk=db04187dc45a0650,organicJob,Ubisoft,Montreuil (93),144
GroupM | Data analyst H/F en CDI,13f929c35c74ecbd,https://www.indeed.fr/voir-emploi?jk=13f929c35c74ecbd,organicJob,GroupM,Paris (75),145
Analyste d'exploitation (H/F) - PARIS,878c0b02d924aaf8,https://www.indeed.fr/voir-emploi?jk=878c0b02d924aaf8,organicJob,Sodifrance,Paris (75),146
Analyst,98ead5a71d662ed8,https://www.indeed.fr/voir-emploi?jk=98ead5a71d662ed8,organicJob,Experian,Paris (75),147
Apprenti Data Manager,b1f3f8e495340d78,https://www.indeed.fr/voir-emploi?jk=b1f3f8e495340d78,organicJob,Natixis Assurances - non-Vie,Paris (75),148
DATASCIENTIST F/H,60532364aad2f9c2,https://www.indeed.fr/voir-emploi?jk=60532364aad2f9c2,organicJob,PARI MUTUEL URBAIN,Paris 15e (75),149
Business Analyst Marketing,351fc12a39739f46,https://www.indeed.fr/voir-emploi?jk=351fc12a39739f46,organicJob,LWM,Paris (75),150
Analyste Data – Supply Chain (H/F),5c35ada6477d8748,https://www.indeed.fr/voir-emploi?jk=5c35ada6477d8748,organicJob,photobox,Sartrouville (78),151
Graduate Marketing Analyst,9e2647bb9db9a0ab,https://www.indeed.fr/voir-emploi?jk=9e2647bb9db9a0ab,organicJob,Imerys,Paris (75),152
Business Intelligence Analyst urgent,af138eb9970f31cb,https://www.indeed.fr/voir-emploi?jk=af138eb9970f31cb,organicJob,Murex S.A.S.,Paris (75),153
Coordinateur / Facilitateur Cockpit Data H/F,3cd14ba7ac216be2,https://www.indeed.fr/voir-emploi?jk=3cd14ba7ac216be2,organicJob,Solocal Group,Boulogne-Billancourt (92),154
Chef de projet - Data Analyst,fc80a854c5785e40,https://www.indeed.fr/voir-emploi?jk=fc80a854c5785e40,organicJob,L'Oréal,Paris (75),155
"Business Analyst, Data Management",36ae5e0c48b1b154,https://www.indeed.fr/voir-emploi?jk=36ae5e0c48b1b154,organicJob,Orchestra networks,Paris (75),156
BPA Data Quality H/F,81457809ff99aa8a,https://www.indeed.fr/voir-emploi?jk=81457809ff99aa8a,organicJob,BOLLORE LOGISTICS,Puteaux (92),157
DATA ANALYST F/H,da371943d6786d18,https://www.indeed.fr/voir-emploi?jk=da371943d6786d18,organicJob,Maten,Paris (75),158
ANALYSTE STRATEGIE & BI (H/F),26691dce2dbc3ef9,https://www.indeed.fr/voir-emploi?jk=26691dce2dbc3ef9,organicJob,Générationnel,Paris 10e (75),159
Data Analyst | Agence internationale | 40/45 K€,b32b56177248d2d9,https://www.indeed.fr/voir-emploi?jk=b32b56177248d2d9,organicJob,Data Recrutement : rejoignez une entreprise en for...,Paris (75),160
SEC Reporting Analyst Junior – Contrat en alternance,8696375e80a95551,https://www.indeed.fr/voir-emploi?jk=8696375e80a95551,organicJob,Criteo,Paris (75),161
Quality Assurance Product Analyst/Inspector,2450ed8482776e90,https://www.indeed.fr/voir-emploi?jk=2450ed8482776e90,organicJob,"Kendo, a division of LVMH",Boulogne-Billancourt (92),162
VIE - Market and Distribution Analyst - SUEDE (H/F),ad5dd50f5eede4ed,https://www.indeed.fr/voir-emploi?jk=ad5dd50f5eede4ed,organicJob,Renault,Paris (75),163
Data Miner (H/F),414d794589032d7d,https://www.indeed.fr/voir-emploi?jk=414d794589032d7d,organicJob,Olympp,Paris (75),164
Business Analyst,07db3921998cffbd,https://www.indeed.fr/voir-emploi?jk=07db3921998cffbd,organicJob,Zurich Insurance Group,Paris (75),165
Responsable Data Analyst / Trade & Promo,557eb8aacd469f9f,https://www.indeed.fr/voir-emploi?jk=557eb8aacd469f9f,organicJob,General Mills - Europe/Australasia,Boulogne-Billancourt (92),166
Business Analyst /Compliance & Regulatory H/F,887eb5b804d0a624,https://www.indeed.fr/voir-emploi?jk=887eb5b804d0a624,organicJob,Onepoint,Paris (75),167
Analyste de Développement BI et DATA H/F Paris,8142336e95fd4048,https://www.indeed.fr/voir-emploi?jk=8142336e95fd4048,organicJob,,Paris (75),168
Pricing Analyst,4eefb0e2cbe8af02,https://www.indeed.fr/voir-emploi?jk=4eefb0e2cbe8af02,organicJob,Hitachi Data Systems,Paris (75),169
DIGITAL ANALYST H/F,0e9d5db47039b87f,https://www.indeed.fr/voir-emploi?jk=0e9d5db47039b87f,organicJob,CAR&BOAT MEDIA,Paris 9e (75),170
Chef de projet informatique,751028ef56bd1bd5,https://www.indeed.fr/voir-emploi?jk=751028ef56bd1bd5,organicJob,LocalLabs.fr,La Défense (92),171
